sample_index,subject_id,anatomical_position,finger_name,impression,source_500,source_1000,source_2000,sha256_500,sha256_1000,sha256_2000,exact_2x_dimensions,low_shape_hw,high_shape_hw,pearson_all_pixels,pearson_dark_union,mae_all_pixels,mae_dark_union,dark_union_pixel_fraction,control_500_1000_pearson_all_pixels,control_500_1000_pearson_dark_union
1,00001809,1,right_thumb,plain,sd300a/images/500/png/plain/00001809_plain_500_11.png,sd300b/images/1000/png/plain/00001809_plain_1000_11.png,sd300c/images/2000/png/plain/00001809_plain_2000_11.png,f4d3e13f527afef29d5ab71611744d39cf22a19d54c6fc88b217fafe3a96ddd7,3868a0d2fded84b21b794894e7f08278dad6c0f8bfff93d963f108303c0bf047,3e16c46aa03c5c54dd82b79c6398b66a863b773817525d2343287eb8f9527041,True,"[1782, 762]","[3564, 1524]",0.9932344363554979,0.9922213043042833,3.280348777770996,3.5807690620422363,0.8674312386035921,0.9958692496028102,0.9951481195266036
1,00001809,1,right_thumb,roll,sd300a/images/500/png/roll/00001809_roll_500_01.png,sd300b/images/1000/png/roll/00001809_roll_1000_01.png,sd300c/images/2000/png/roll/00001809_roll_2000_01.png,a09de71cfaf016cd9af02bcd2eca6f8b5f849d98dee52bc91f56a575d7df7f7f,7aedb4c0dc28c32f2e25739674288a87442befe573d051f0b808ceeb14a90f74,a80cb9c712cebbfcc397b561a6081649adc0b95946bbd5164a57479c462161fa,True,"[1456, 1672]","[2912, 3344]",0.9761484652729604,0.9760330891203848,6.13974142074585,6.152264595031738,0.997205919080919,0.9963448762027878,0.9963071874499337
2,00001718,1,right_thumb,plain,sd300a/images/500/png/plain/00001718_plain_500_11.png,sd300b/images/1000/png/plain/00001718_plain_1000_11.png,sd300c/images/2000/png/plain/00001718_plain_2000_11.png,8eae0eb22f3a705ad86e5b93aeeed7bce14ccab72cb5981e6aa9159c517eb15f,04ec58a85d8e9d47dde06636134a625a1fa63236d9025c158ca16f22658be64d,aeb3f244ebe218f18468c6a148df54e84b4e8c2d0af059079e8b10b338cca88e,True,"[1782, 762]","[3564, 1524]",0.9507231234830379,0.9507231234830379,58.098453521728516,58.098453521728516,1.0,0.9918076662020934,0.9918076662020934
2,00001718,1,right_thumb,roll,sd300a/images/500/png/roll/00001718_roll_500_01.png,sd300b/images/1000/png/roll/00001718_roll_1000_01.png,sd300c/images/2000/png/roll/00001718_roll_2000_01.png,9aab199414644725d8f08610ae4db0d69960e915f6b4d20326f06e5845adac07,154eefda49bf36d5014238217d0bbb8476d3b3428f1e93d2a5a5faa5b47577cf,fcc7b7e403cf6f5614d3e5d6d9d90242ce395a07b2aa38b40a5078af410c2a8b,True,"[1456, 1672]","[2912, 3344]",0.9630879371814264,0.9629344939991632,5.875831604003906,5.886743068695068,0.9969101622062149,0.9946350641512142,0.9945976082644314
3,00001335,2,right_index,plain,sd300a/images/500/png/plain/00001335_plain_500_02.png,sd300b/images/1000/png/plain/00001335_plain_1000_02.png,sd300c/images/2000/png/plain/00001335_plain_2000_02.png,3e1a3d6f6af58cb75b4f44d69fa1a6170dd3d274bcaf2ee023b63e45ead591aa,9fac26259fcb2325aea9ed26ba3b4241a763cb25bab5a8b6f4346e72919ce749,2bf634d29b28f80caa45704a6fa90572c13ad96061d277543280d87e6d50f00f,False,"[953, 614]","[1904, 1228]",0.9510787424625,0.9480255909203925,4.293709754943848,4.272719860076904,0.9930016987329572,0.9783191310094403,0.9813007323769429
3,00001335,2,right_index,roll,sd300a/images/500/png/roll/00001335_roll_500_02.png,sd300b/images/1000/png/roll/00001335_roll_1000_02.png,sd300c/images/2000/png/roll/00001335_roll_2000_02.png,acb303c2cd34d0cfccf1806bd74d402b629c8e64f048705edeace6f1b38a9168,5aabef2ca4689e15e4c46bd7b567a0597fcf185923db447a50022a3819ad8808,05fdffb93afdcfbdd715de1bdfc39bb48e4e111f0e6d93d0820a7c240382fb2d,True,"[1566, 1510]","[3132, 3020]",0.9796935429472101,0.979686198653342,4.09834098815918,4.098910808563232,0.9997610650156894,0.9988013297190274,0.9988009621807542
4,00001593,2,right_index,plain,sd300a/images/500/png/plain/00001593_plain_500_02.png,sd300b/images/1000/png/plain/00001593_plain_1000_02.png,sd300c/images/2000/png/plain/00001593_plain_2000_02.png,15ffd2b94172b448dbb390674558ed0f5255247ffbce7bc2e7702a7ae7161a66,10c633deb024285ebf164725fd2685a9d82d400c376bdb32587477751482bc50,2d6065737c705933231729162bebc45ebaf2a674861cdfacf05ab0973b5e215a,False,"[1049, 578]","[2097, 1153]",0.9803465193407723,0.958201912696249,6.420204162597656,7.987977027893066,0.7970137979489447,0.990954984648609,0.9807635188613086
4,00001593,2,right_index,roll,sd300a/images/500/png/roll/00001593_roll_500_02.png,sd300b/images/1000/png/roll/00001593_roll_1000_02.png,sd300c/images/2000/png/roll/00001593_roll_2000_02.png,d802e802a4ea89cd220b6c4656b00d95554587c2bb0a527f84c9dfec4c7e80cd,c1b8b8d7cd82aff5f733865b1424fa69a597db185c35345ca2b71c4a6d90d296,364eee7f17ccbac5d1359f4af21196e811b0ce9a0375c7c82d71829530f77768,True,"[1550, 1496]","[3100, 2992]",0.9597426456589059,0.9597259841520684,7.341480255126953,7.342541217803955,0.9998007590132827,0.994931553337625,0.9949273449088472
5,00001314,3,right_middle,plain,sd300a/images/500/png/plain/00001314_plain_500_03.png,sd300b/images/1000/png/plain/00001314_plain_1000_03.png,sd300c/images/2000/png/plain/00001314_plain_2000_03.png,68d0d3f260f12b60bb465b3edde5cb5008cdb28521271f68d9002da8d972eb54,e9a8f188c4f43ece0cc9bf3c573aa949cb0cc81399b77dfb32a4f9e59d4840bb,998c4d0803a9d66791852dac5314425ee0cdac1c4edf7fcd3b7d7455017a48bb,True,"[541, 734]","[1082, 1468]",0.9764666347959888,0.9599193745215354,5.197257995605469,5.757691383361816,0.8556286420847456,0.9889815942456411,0.9827284012149294
5,00001314,3,right_middle,roll,sd300a/images/500/png/roll/00001314_roll_500_03.png,sd300b/images/1000/png/roll/00001314_roll_1000_03.png,sd300c/images/2000/png/roll/00001314_roll_2000_03.png,bdb79694b710786a58e57aa01b29b8e5dc218a0a313742a54837e1f74bb05c84,d6908c9be259d7a8c74221136ce48b559579313a7496bf6009786b60425da48a,5ae05c1bcf8f973d2ebd0e04b41b3e7adb63bf9cadaeb1bf548a489347fc02df,True,"[1578, 1522]","[3156, 3044]",0.9650071864151993,0.9560353788165041,5.462113380432129,6.148221969604492,0.8209884099535498,0.9980717289689713,0.9974218220890737
