sample_index,subject_id,anatomical_position,finger_name,plain_frgp,roll_frgp,selection_rank_sha256,availability_candidate_count,integrity_status,plain_500_source_id,plain_500_sha256,plain_1000_source_id,plain_1000_sha256,plain_2000_source_id,plain_2000_sha256,roll_500_source_id,roll_500_sha256,roll_1000_source_id,roll_1000_sha256,roll_2000_source_id,roll_2000_sha256
1,00001809,1,right_thumb,11,1,005303fd504d5d07b44fab7115459e8c98467240c3860ece3e4e1a014b95d562,875,PASS,sd300a/images/500/png/plain/00001809_plain_500_11.png,f4d3e13f527afef29d5ab71611744d39cf22a19d54c6fc88b217fafe3a96ddd7,sd300b/images/1000/png/plain/00001809_plain_1000_11.png,3868a0d2fded84b21b794894e7f08278dad6c0f8bfff93d963f108303c0bf047,sd300c/images/2000/png/plain/00001809_plain_2000_11.png,3e16c46aa03c5c54dd82b79c6398b66a863b773817525d2343287eb8f9527041,sd300a/images/500/png/roll/00001809_roll_500_01.png,a09de71cfaf016cd9af02bcd2eca6f8b5f849d98dee52bc91f56a575d7df7f7f,sd300b/images/1000/png/roll/00001809_roll_1000_01.png,7aedb4c0dc28c32f2e25739674288a87442befe573d051f0b808ceeb14a90f74,sd300c/images/2000/png/roll/00001809_roll_2000_01.png,a80cb9c712cebbfcc397b561a6081649adc0b95946bbd5164a57479c462161fa
2,00001718,1,right_thumb,11,1,00a3dbd468405fbafb12ae390fbbb228275367df9a12dd50110fa755c43161c8,875,PASS,sd300a/images/500/png/plain/00001718_plain_500_11.png,8eae0eb22f3a705ad86e5b93aeeed7bce14ccab72cb5981e6aa9159c517eb15f,sd300b/images/1000/png/plain/00001718_plain_1000_11.png,04ec58a85d8e9d47dde06636134a625a1fa63236d9025c158ca16f22658be64d,sd300c/images/2000/png/plain/00001718_plain_2000_11.png,aeb3f244ebe218f18468c6a148df54e84b4e8c2d0af059079e8b10b338cca88e,sd300a/images/500/png/roll/00001718_roll_500_01.png,9aab199414644725d8f08610ae4db0d69960e915f6b4d20326f06e5845adac07,sd300b/images/1000/png/roll/00001718_roll_1000_01.png,154eefda49bf36d5014238217d0bbb8476d3b3428f1e93d2a5a5faa5b47577cf,sd300c/images/2000/png/roll/00001718_roll_2000_01.png,fcc7b7e403cf6f5614d3e5d6d9d90242ce395a07b2aa38b40a5078af410c2a8b
3,00001335,2,right_index,2,2,003e3c77e045777ce4d8531242ac9c97dd2ac1d8033a2da1b54f2b47f4931490,879,PASS,sd300a/images/500/png/plain/00001335_plain_500_02.png,3e1a3d6f6af58cb75b4f44d69fa1a6170dd3d274bcaf2ee023b63e45ead591aa,sd300b/images/1000/png/plain/00001335_plain_1000_02.png,9fac26259fcb2325aea9ed26ba3b4241a763cb25bab5a8b6f4346e72919ce749,sd300c/images/2000/png/plain/00001335_plain_2000_02.png,2bf634d29b28f80caa45704a6fa90572c13ad96061d277543280d87e6d50f00f,sd300a/images/500/png/roll/00001335_roll_500_02.png,acb303c2cd34d0cfccf1806bd74d402b629c8e64f048705edeace6f1b38a9168,sd300b/images/1000/png/roll/00001335_roll_1000_02.png,5aabef2ca4689e15e4c46bd7b567a0597fcf185923db447a50022a3819ad8808,sd300c/images/2000/png/roll/00001335_roll_2000_02.png,05fdffb93afdcfbdd715de1bdfc39bb48e4e111f0e6d93d0820a7c240382fb2d
4,00001593,2,right_index,2,2,007c6871de31bdb6cc6d080eb78bde291a6d2001bea68d8a2a7a5fce35857ad8,879,PASS,sd300a/images/500/png/plain/00001593_plain_500_02.png,15ffd2b94172b448dbb390674558ed0f5255247ffbce7bc2e7702a7ae7161a66,sd300b/images/1000/png/plain/00001593_plain_1000_02.png,10c633deb024285ebf164725fd2685a9d82d400c376bdb32587477751482bc50,sd300c/images/2000/png/plain/00001593_plain_2000_02.png,2d6065737c705933231729162bebc45ebaf2a674861cdfacf05ab0973b5e215a,sd300a/images/500/png/roll/00001593_roll_500_02.png,d802e802a4ea89cd220b6c4656b00d95554587c2bb0a527f84c9dfec4c7e80cd,sd300b/images/1000/png/roll/00001593_roll_1000_02.png,c1b8b8d7cd82aff5f733865b1424fa69a597db185c35345ca2b71c4a6d90d296,sd300c/images/2000/png/roll/00001593_roll_2000_02.png,364eee7f17ccbac5d1359f4af21196e811b0ce9a0375c7c82d71829530f77768
5,00001314,3,right_middle,3,3,001207110db10918b4c81cb0c8af69bda6b0bb652631b0f96c613f0d17780fe5,875,PASS,sd300a/images/500/png/plain/00001314_plain_500_03.png,68d0d3f260f12b60bb465b3edde5cb5008cdb28521271f68d9002da8d972eb54,sd300b/images/1000/png/plain/00001314_plain_1000_03.png,e9a8f188c4f43ece0cc9bf3c573aa949cb0cc81399b77dfb32a4f9e59d4840bb,sd300c/images/2000/png/plain/00001314_plain_2000_03.png,998c4d0803a9d66791852dac5314425ee0cdac1c4edf7fcd3b7d7455017a48bb,sd300a/images/500/png/roll/00001314_roll_500_03.png,bdb79694b710786a58e57aa01b29b8e5dc218a0a313742a54837e1f74bb05c84,sd300b/images/1000/png/roll/00001314_roll_1000_03.png,d6908c9be259d7a8c74221136ce48b559579313a7496bf6009786b60425da48a,sd300c/images/2000/png/roll/00001314_roll_2000_03.png,5ae05c1bcf8f973d2ebd0e04b41b3e7adb63bf9cadaeb1bf548a489347fc02df
6,00001267,3,right_middle,3,3,0079b9243d133b2f99613398de9271694225a3a17f67764c5b9fb04017a4ee23,875,PASS,sd300a/images/500/png/plain/00001267_plain_500_03.png,105a9e5f05d287c7f895487018bcd6fe6241d288ced77b5de060ba981b77c45b,sd300b/images/1000/png/plain/00001267_plain_1000_03.png,687f471442d5887b1c1212bcccfaf9752b16c3bf420a1efe649ec06ab5276bdf,sd300c/images/2000/png/plain/00001267_plain_2000_03.png,81de3397324fe0cbb22531d62113ddf24073f2e932eda7e4982ca2c0409a294e,sd300a/images/500/png/roll/00001267_roll_500_03.png,c6ad7477911d7c479576099a8d32aab7a58f8e55cf84bc58b4b61d53ee7b9215,sd300b/images/1000/png/roll/00001267_roll_1000_03.png,a1db28e8425462bff9f741980b7f51058f28113cd09947e142e6583a5064ce4d,sd300c/images/2000/png/roll/00001267_roll_2000_03.png,08fc850815ea230bd0214b87b1b4aa01269bdaffb48e39ad32df82c44818affa
7,00001061,4,right_ring,4,4,0005f6a4a45ffa09b72ccd34ea56f04a179fb057fa801656dff5e7e86249f146,882,PASS,sd300a/images/500/png/plain/00001061_plain_500_04.png,57940c7eebb8c0c857c7dd2133cf689e5e348e131ba0c0ea48bb147d4668150a,sd300b/images/1000/png/plain/00001061_plain_1000_04.png,98ea489f206f0b5204289fce4a85e6ba7ed23301bf72e910dd76f875c5e0bf51,sd300c/images/2000/png/plain/00001061_plain_2000_04.png,8d08bf838077a69931c0fc5417f2299842ff64e4bede438fb098058a991b9e7e,sd300a/images/500/png/roll/00001061_roll_500_04.png,fb7e3cf4faa6a6bad90f5409002f8a4237167821a1b5e6768c25a087248f9408,sd300b/images/1000/png/roll/00001061_roll_1000_04.png,1d19c01b8971872ed47d7863f674708d54783135d650ae0b204eec3475d3d09d,sd300c/images/2000/png/roll/00001061_roll_2000_04.png,a79d8f1d4aa8ed9ae0a11e49db41370d9b8d62329f590445197934d183c31ed5
8,00001050,4,right_ring,4,4,00e2ecb8565ee507ec9f8148d6909e79a700c5463c44d3645374ebf7dfcbe68e,882,PASS,sd300a/images/500/png/plain/00001050_plain_500_04.png,704b911c290fddd2969eeae7d82a57d06b692d0159ca5ed5cf1506088ff9b1fd,sd300b/images/1000/png/plain/00001050_plain_1000_04.png,deabeb785e3f47c6372521f230070c2004b28f219d0cca8c5836da00a650454d,sd300c/images/2000/png/plain/00001050_plain_2000_04.png,c4acd4b44065c8776c6cc7a2b64b72ea2f7eef7214392857932988f02360a7df,sd300a/images/500/png/roll/00001050_roll_500_04.png,394ec37467a38ff580bc9f4b7d8a9b2e13e55d3c6b51401ff8d5c01bc44b0e4f,sd300b/images/1000/png/roll/00001050_roll_1000_04.png,24080dc5ad68c1cdb999a95211c569ccfeb93fb9176a05e51a9fe8c69b96baf0,sd300c/images/2000/png/roll/00001050_roll_2000_04.png,07c907f52d813fc491906a4c0c29a73a77b559940207a708103118571d4b9993
9,00001187,5,right_little,5,5,0027bce8e34ea5d861ea4a5d7e4b5fd25016e9c3289a758adf1d22b3d8a61aa3,867,PASS,sd300a/images/500/png/plain/00001187_plain_500_05.png,b847d11ed754f0449127d1fbc1146e2cb8d70b512cee0c3169dabb345a4261fb,sd300b/images/1000/png/plain/00001187_plain_1000_05.png,46a75f85a176e1365483ed43fce0de2919c1d37dcf53ebb18049b3bbccbc431f,sd300c/images/2000/png/plain/00001187_plain_2000_05.png,e8360bea9daa70283b8532cbea9cca55c19328135790419a04cc8e22ebbda6dd,sd300a/images/500/png/roll/00001187_roll_500_05.png,b6d720fccc2cf0db8000d0acd2ab41bdc7d9b2f0f023eda305ff587bfde46e3d,sd300b/images/1000/png/roll/00001187_roll_1000_05.png,c46346976ef53b8a18a70c50af77deefe842251635dd3fb46b7a907fc56c33fd,sd300c/images/2000/png/roll/00001187_roll_2000_05.png,9ba1b12ae843d395ed8fcbbc8be98a6540a16d49d6e3c87c88c9accb2440ea3c
10,00001724,5,right_little,5,5,008494428688a967be7383e8fd26fc8983332aa1301a559fc165d4d60135c1eb,867,PASS,sd300a/images/500/png/plain/00001724_plain_500_05.png,c3c3c912d9f23c15c35791de504c04e86d98c93059860ac3a602dedbfc44dfdb,sd300b/images/1000/png/plain/00001724_plain_1000_05.png,15c14b17f2a88b80bf8153398f413c0699766263fec5564b3c097032c7aaecac,sd300c/images/2000/png/plain/00001724_plain_2000_05.png,f32fe646c05208daf8e8133be67d8830faf41e7764effe4f22e8874f84e45a6b,sd300a/images/500/png/roll/00001724_roll_500_05.png,101a7e4c2a07c726506d217b369917418740ed7a4fca457a2582ef714d9803b7,sd300b/images/1000/png/roll/00001724_roll_1000_05.png,973f118bc32b5752b1bdf8e4414473cdadd278f55aad6e688c02107bcf5e2592,sd300c/images/2000/png/roll/00001724_roll_2000_05.png,9861a5ce02f77fd6e46f3242e7d50b7a96133e19fd3b979b3a11dc5b23da9ced
