canonical_image_id,run,pattern,image_relative_path,annotation_relative_path,image_sha256,annotation_sha256,width,height,annotation_count,out_of_bounds_count,duplicate_coordinate_record_count,estimated_fingerprint_area_px,estimated_fingerprint_area_fraction,annotation_density_per_100k_estimated_fingerprint_px,inside_estimated_fingerprint_mask_count,within_16px_edge_count,within_5pct_edge_count,nearest_neighbor_median_px,otsu_dark_ridge_threshold
R1/10_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/10_right_loop.jpg,Pore ground truth/Ground truth/R1/10_right_loop.tsv,ddad833966f20c1afa5f7294c154847f69a854b23b82a6ad36a20bbee2cbc80f,ce69cc4a61698afb7a20bc8e61db461ca8207220f5022f00df30939c49ec680b,512,512,404,0,0,260858,0.9950942993164062,154.87353272661753,403,54,83,15.620499351813308,117.0
R1/10_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/10_whorl.jpg,Pore ground truth/Ground truth/R1/10_whorl.tsv,43776532b57fc8bf75bbd05bef34d0c2209c99aa25677e88e8c89a1a66d34c5f,39bd4e1366e7dc577936fdf9fdc192ee3ea97ecc26f4fdf86f498cc5b9afc236,512,512,359,0,0,261873,0.9989662170410156,137.08935247238165,359,40,58,15.132745950421556,124.0
R1/11_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/11_right_loop.jpg,Pore ground truth/Ground truth/R1/11_right_loop.tsv,1e9a65abde20f10880bb229f5a3094ed48e4ec107ff9f0c873c7a06fe779b53a,715c9f8e490e50fae9bcf96e4f9bd624cce5ba916c9245f899daa7b42acd44b2,512,512,484,0,0,262144,1.0,184.63134765625,484,55,84,14.317821063276353,124.0
R1/11_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/11_whorl.jpg,Pore ground truth/Ground truth/R1/11_whorl.tsv,5efa49c6ddd1ddfde5736985c8fdc4832a30ea8ada9519cfebab56bcddecea95,db4298344815acfe27a52c0b94545c084ccbf24d7dd314f8ac52d442a09a418f,512,512,336,0,1,257031,0.9804954528808594,130.7235314028269,336,27,51,15.231546211727817,121.0
R1/12_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/12_right_loop.jpg,Pore ground truth/Ground truth/R1/12_right_loop.tsv,61a1fc76dcfe16d5ffcd461ef9223c3f8c8e631dfd4af65bb24000027f32b777,7a691129943b5cbd3d2f3cc00dbbc68dda1feba3ec888ced183e0b826f52fb66,512,512,397,0,0,262144,1.0,151.4434814453125,397,53,78,15.264337522473747,114.0
R1/12_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/12_whorl.jpg,Pore ground truth/Ground truth/R1/12_whorl.tsv,dc479fa346c7ff6a90aca0d0e2e2fbcda3809fbeb79c488973b87b04306f00a8,f90dc073f187b1c65a7d519cac626cf4e1746e0eb886e824a39f0218c7d4a8e2,512,512,423,0,0,258819,0.9873161315917969,163.43467828868825,420,48,74,15.620499351813308,116.0
R1/13_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/13_right_loop.jpg,Pore ground truth/Ground truth/R1/13_right_loop.tsv,e02717fbc0b86a300480b85a7340536c664dc8a86159281f7374392b07f7bf95,7570d5d9f436b5441dd18ed793e3885f3387270d1bb8f390aadf86529b4a2f71,512,512,344,0,0,262144,1.0,131.2255859375,344,50,64,15.588424268958676,119.0
R1/13_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/13_whorl.jpg,Pore ground truth/Ground truth/R1/13_whorl.tsv,38a4255ab00294a17b5a43e17dd54862ebdc3a0ed180d436664648537313b266,0f3c95a8ec6a49c7ea6c70682bc0e3d964ac78f95ae519e7c70e8fdb706dac01,512,512,368,0,0,258236,0.9850921630859375,142.5053052246782,367,41,74,14.866068747318506,122.0
R1/14_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/14_right_loop.jpg,Pore ground truth/Ground truth/R1/14_right_loop.tsv,abc618deb5aaaf7048ff26d9fd61ce42108e0d9c70b39baa2e5f7737e08e7ad9,bb4832824a012f4adf3d2cdf85450185bf99475e9668596682d656eab3afb9d0,512,512,449,0,0,260363,0.9932060241699219,172.45153881311862,447,54,81,16.0312195418814,119.0
R1/14_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/14_whorl.jpg,Pore ground truth/Ground truth/R1/14_whorl.tsv,d3a0e11c4932204742a3097fe5ddce1d6fe37296efa9dd99a78ae6d729b09cbf,cd179cc6be1dbf2c2e6cf2a77891e56f44abc8d182036946b3101264ea79e5a9,512,512,491,0,0,262144,1.0,187.3016357421875,491,61,92,15.0,110.0
