subset,run,relative_path,filename,format,size_bytes,sha256,identity_number,capture_group,instance,canonical_identity,canonical_sample_id,decode_status,width,height,channels,annotation_local_index,pattern
full_l3sf,R1,L3-SF/R1/100_1_1.png,100_1_1.png,png,66644,f57788db28318520352720284c927f372a125d968b10115dd3e93c07af0a8120,100,1,1,R1/100,R1/100_1_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_1_2.png,100_1_2.png,png,69387,4cdff812b4303b0f009108267cca14f1053d99d750224e516af36cc7afa95e9b,100,1,2,R1/100,R1/100_1_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_1_3.png,100_1_3.png,png,69791,b764e584280d04c914819931a13b62abaa4b0fc453224899efa1c02ec27af1b4,100,1,3,R1/100,R1/100_1_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_1_4.png,100_1_4.png,png,69010,b60475408871466684d95ef8f1ca42f99fdeb6070fbd6d5e35033cc347246b56,100,1,4,R1/100,R1/100_1_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_1_5.png,100_1_5.png,png,67193,46712ddffc3cd6a3992eac6b9f57c7aa0d978aca330d1bac67fa4ddc9038412d,100,1,5,R1/100,R1/100_1_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_2_1.png,100_2_1.png,png,69294,c521c8a67c3366c38ac167bfeea987b5cd2a899b84c3efdbd0647416e33de568,100,2,1,R1/100,R1/100_2_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_2_2.png,100_2_2.png,png,70790,ac34cec8c41b85342752fd086a6a03b38e4720f781fc6cf9c4f343cf85901807,100,2,2,R1/100,R1/100_2_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_2_3.png,100_2_3.png,png,69266,569d3a8d7f9dd9e831907b2e3781005c6b4c990274a14231de52bfa4c8b8aed0,100,2,3,R1/100,R1/100_2_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_2_4.png,100_2_4.png,png,69806,827db49d6c0ceb2ca703ec553fcbc925764b817a74df9111c8b4bf2908ab7a8b,100,2,4,R1/100,R1/100_2_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/100_2_5.png,100_2_5.png,png,70214,1b69a012b5695f43d5d9fa7b733a4453e6363e09ff5d49eba9a145070fb36441,100,2,5,R1/100,R1/100_2_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_1_1.png,101_1_1.png,png,69968,a849de1ac6be8ca9036210a092f0a68a9d2beb4a7ab238673f6eec4e0995e5a5,101,1,1,R1/101,R1/101_1_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_1_2.png,101_1_2.png,png,69838,d4e04f78d8586a0821794ece9943155c0999a5d83b8e961488372ddf2afc0e31,101,1,2,R1/101,R1/101_1_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_1_3.png,101_1_3.png,png,68900,75afdb3a3c7af86c3c6a1846d7465bb7b905f175d4ba8f0101b037ce7948fdb0,101,1,3,R1/101,R1/101_1_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_1_4.png,101_1_4.png,png,68406,a27e46300b8a8f238ad58e756b1e0eb3fb558e1c736a8034737ac1548c36cf9a,101,1,4,R1/101,R1/101_1_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_1_5.png,101_1_5.png,png,70597,56a3fdbc101ebcd989c548b3851b7362d39a6418331c0fa46ef6ad3690e17be6,101,1,5,R1/101,R1/101_1_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_2_1.png,101_2_1.png,png,69539,6557fa3997a481db856e24aae674efa414670b5175d63ea9f00e0a88378c5f1c,101,2,1,R1/101,R1/101_2_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_2_2.png,101_2_2.png,png,69673,6458bbd59f2e410c2f18908076dae3b1843ba0a664e45c3eb8dd6341e4cbba68,101,2,2,R1/101,R1/101_2_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_2_3.png,101_2_3.png,png,71016,7710771876b60f9f74018edd6822c9647ae87e6fa50670d9b854826fc9c42c8a,101,2,3,R1/101,R1/101_2_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_2_4.png,101_2_4.png,png,72378,440429ec689343031e0c64d292c134747bf0fd50e125f3066bc9c459dff4f7e9,101,2,4,R1/101,R1/101_2_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/101_2_5.png,101_2_5.png,png,68566,11761a36b6d0f4fb19ba5b938b6cdf2fc78639d3cbdf8ac5213f292648345016,101,2,5,R1/101,R1/101_2_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_1_1.png,102_1_1.png,png,71302,0facd1ad0be9ab53607e667878eb82ed913cf1a4e1361d62eacbe2d4d484c0e2,102,1,1,R1/102,R1/102_1_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_1_2.png,102_1_2.png,png,70985,1a917aeae5a1043bd5440f5be62627624b6d52005afc25ceeafe7e774faa1f06,102,1,2,R1/102,R1/102_1_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_1_3.png,102_1_3.png,png,71747,28b20b28710f0ad59738aca6ae736eea7a31f8745a1355048e1c69db3c3f31cd,102,1,3,R1/102,R1/102_1_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_1_4.png,102_1_4.png,png,72266,c718c2767f3e5ef4024288c2310dfa32a9025ec4ca4cf871151a1cb3edc28f8d,102,1,4,R1/102,R1/102_1_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_1_5.png,102_1_5.png,png,69118,a07fc12c540665d5c7d1f6a12e48602ff380b53698b01f3b7495f13352e267f8,102,1,5,R1/102,R1/102_1_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_2_1.png,102_2_1.png,png,71424,08d1c4ed7090a472dd11400264569c85fcc63f8b4d4992f2952f3584c96475ca,102,2,1,R1/102,R1/102_2_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_2_2.png,102_2_2.png,png,70733,ad50690507bfde3ed563665c0386f147af07cbac3c67701a589894c7b7d49a05,102,2,2,R1/102,R1/102_2_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_2_3.png,102_2_3.png,png,74059,25ff37565ae2f243420292eb1e8e25f77a7816ce74ef520a4d2726525f0fea92,102,2,3,R1/102,R1/102_2_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_2_4.png,102_2_4.png,png,68616,e46891781ff13dd422ffdd2a93bd860c4cef8c1e04b51c6613020312f418794b,102,2,4,R1/102,R1/102_2_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/102_2_5.png,102_2_5.png,png,72198,7777845b2fdb02c62fcfdaabf0b571256e6ae67cb1a638a0243936c1d7039a01,102,2,5,R1/102,R1/102_2_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_1_1.png,103_1_1.png,png,71852,1c9e4ac53a6fec6031fff4c934e70b97e475f916cf20529e6af8fff612df298d,103,1,1,R1/103,R1/103_1_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_1_2.png,103_1_2.png,png,72365,7317d2d28624bc0889d71b6866af16cd11daa64aaf0b70d2162674c9d97492d7,103,1,2,R1/103,R1/103_1_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_1_3.png,103_1_3.png,png,70050,0f392bd5bb0064b7cc967e403546ecad0d0b893b090131b6fbc0ff23b50dfdbc,103,1,3,R1/103,R1/103_1_3,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_1_4.png,103_1_4.png,png,69838,da673c5b8e38550faeb31d889ec34a408e7b850fdb9b0ed2130836c94b9c4020,103,1,4,R1/103,R1/103_1_4,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_1_5.png,103_1_5.png,png,71157,5a4ed2e9fdef9494f641f5b1760b51ec23c3f2d08e709299d6f547eb44d3b0a0,103,1,5,R1/103,R1/103_1_5,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_2_1.png,103_2_1.png,png,64313,907cb64faa179fab47bf3e3a10ab572b6e348c3e167fbd2d812a01f6d2c7cd32,103,2,1,R1/103,R1/103_2_1,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_2_2.png,103_2_2.png,png,70528,52b866ac3257dcddadb90bbd03063840fb1a49b1042df1470cd7966dbd1ab467,103,2,2,R1/103,R1/103_2_2,PASS,320,240,3,,
full_l3sf,R1,L3-SF/R1/103_2_3.png,103_2_3.png,png,68428,833e0c8ec5de5aa755b6b49a6070b9ac0bd3a3efbb84e1bafd0366bff004cfb1,103,2,3,R1/103,R1/103_2_3,PASS,320,240,3,,
