audit_image_index,canonical_image_id,run,pattern,image_relative_path,annotation_relative_path,image_sha256,annotation_sha256,annotation_count_in_image,selected_annotation_count,image_selection_rank_sha256
1,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,392,20,5ad05ac6b3d0a884f65ac8d54dacd75649d31c7df3bd4e9aa6677cbb29c779e4
2,R1/2_plain_arch,R1,plain_arch,Pore ground truth/Fingerprint Images/R1/2_plain_arch.jpg,Pore ground truth/Ground truth/R1/2_plain_arch.tsv,200604fc996a2aa428b77e750d208fc4870d9d6736acaee0dd7e27f4c8bdfb6c,dbcb997d67a5544f71a866442a6a8049a5759e78b60e701975ebe070a94e0ca8,471,20,250dddccdab266241b35c48d4c0341fd4630d2a46f83d968624befb57a7df974
3,R1/12_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/12_right_loop.jpg,Pore ground truth/Ground truth/R1/12_right_loop.tsv,61a1fc76dcfe16d5ffcd461ef9223c3f8c8e631dfd4af65bb24000027f32b777,7a691129943b5cbd3d2f3cc00dbbc68dda1feba3ec888ced183e0b826f52fb66,397,20,00839163591a85c83a68e21f765d019818ea45ee3d3b20fa9a61690672f73d6f
4,R1/73_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/73_right_loop.jpg,Pore ground truth/Ground truth/R1/73_right_loop.tsv,df7f5f3c504273645cbfa34952f4be401ed2b32e09e310000050f0a76e473d92,663838cfe0a9da87e2fdbd9e90d2b314029cf318558edb667afc74ca23d0c58e,353,20,030bd2f4d5fcfc3fbfd5960746744891ab607a72e500cbcfbcebb536db05b755
5,R1/9_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/9_right_loop.jpg,Pore ground truth/Ground truth/R1/9_right_loop.tsv,fb82e9d766ace7a0ff7082fa9c7c6301ac2d7944b8642b2f6634e597aa152fe5,862d81a3c8277fbf8067548b9e0551dfb97628a362436c78726b7361b6c0f4a2,415,20,0757c89ead0024d1030d000695780d5c5ffb22c4421e7e604ac4f998a0279765
6,R1/4_right_loop,R1,right_loop,Pore ground truth/Fingerprint Images/R1/4_right_loop.jpg,Pore ground truth/Ground truth/R1/4_right_loop.tsv,af3b0b2b89d88d73adbe52850b70476b0a26c6422249dd748fb25b944f2fd141,59fbf532c181ab28b67f3c9375c98956513976b5e39fe20bda39fac0ddcdd036,335,20,09c3d51883d8f3cc4f187a3d32a3cedc0ac15f9dc5c037949c680982bd54630d
7,R1/2_tented_arch,R1,tented_arch,Pore ground truth/Fingerprint Images/R1/2_tented_arch.jpg,Pore ground truth/Ground truth/R1/2_tented_arch.tsv,0d0161811d751c4eb2e4293464aee61b74bd037db34ec9f5028c6b0b2f17e582,da745e83e5d16eb080b050a2dd9a8a90697368397705968f2358da8f1e33ea37,448,20,22defb29ce9d269268dae99341f5289a85f90b786f393dbba3a0621cd18d3113
8,R1/42_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/42_whorl.jpg,Pore ground truth/Ground truth/R1/42_whorl.tsv,51d0cbe3f662a1e1cbfdebe45f175f7502a12bc1666e0b13cf0bc58961e3e571,5831d7d859fa73b9adebba273d5b39feb128a921371e967d1ee6c12f602af186,437,20,07859dadce12d0756ea00614c98abe110e5ac3319eb696c59904db034e8694e1
9,R1/21_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/21_whorl.jpg,Pore ground truth/Ground truth/R1/21_whorl.tsv,b9b9ce995c4a75132b6676fc4aa05015b8be991e95221ba23a2da8762c400f8b,74c95183bcc3634a5887220c77cd528a6fdcaa42f8f816ef66957d988ddf1cf0,371,20,0c95bef9f4e79f7e085b64afa8edf78de9e47d06003ee7e2590f81e9217ef848
10,R1/48_whorl,R1,whorl,Pore ground truth/Fingerprint Images/R1/48_whorl.jpg,Pore ground truth/Ground truth/R1/48_whorl.tsv,70df2bd20d56b3fac03b44cd2ba129a6b69ee38d75aa3c6eaf3414cd1c9ef31f,77c0b27034a94682bdad0c72c8f90a7d5f812f6061ce561e35a615be98d1430e,335,20,1321a6c928633180989aaafaebb4d603fbb92ffa5dc26605d263c17470ce1046
11,R2/1_left_loop,R2,left_loop,Pore ground truth/Fingerprint Images/R2/1_left_loop.jpg,Pore ground truth/Ground truth/R2/1_left_loop.tsv,9d0bbd92f10c7e98bf7399707bc039664df148cba9aa1d251d15d3b7fc3ccd71,9858cc2a86c35463b1fbac2dbba0a124e03ff1dc63940aa619dbfb55e5362013,450,20,48a06863c510d1bd1bd8f26274418ddc0329ce69d719253c74b39ccc6afd97da
12,R2/3_plain_arch,R2,plain_arch,Pore ground truth/Fingerprint Images/R2/3_plain_arch.jpg,Pore ground truth/Ground truth/R2/3_plain_arch.tsv,9365fd3e4035ab13b449f44bcc909596c579e4b055b4fff03fc07f7c650330f2,06f329fa6276a48c6a51e95e6e21f08cd482f24bc96faaa58d94b18fb7630161,439,20,23581db1893c4337f96a26ded398e6a0f9b972e905628aaf9612fc1b739595a0
13,R2/25_right_loop,R2,right_loop,Pore ground truth/Fingerprint Images/R2/25_right_loop.jpg,Pore ground truth/Ground truth/R2/25_right_loop.tsv,85c6df0d0675d8e1e03e98b0af616fe0d26d1c007698cccd8a1d588bdd3a71ee,4a9a7b9f8de771fe843cd0f7c578ff24ff6b3c9c18ca34d3b525cee29f4a8563,380,20,02aca8dc6458973c1b90b89f09f98a0e5e439bf09879f644a6bf39aab133e3f3
14,R2/50_right_loop,R2,right_loop,Pore ground truth/Fingerprint Images/R2/50_right_loop.jpg,Pore ground truth/Ground truth/R2/50_right_loop.tsv,415e2fce432dc23401a867534357424f76e387d4d8655b6b7e8c1e599dad3381,d8ab997583ce277a6d5aee5d6506e3a4bac2906bdb17caf18cd55e1989a8eb81,381,20,04c8ec98d0c86deac676ad81274bcda3630ec90da2fff2f659d84dd2835bab35
