audit_index,plate_relative_path,allowed_choice,allowed_confidence
1,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-001.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
2,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-002.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
3,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-003.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
4,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-004.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
5,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-005.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
6,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-006.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
7,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-007.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
8,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-008.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
9,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-009.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
10,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-010.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
11,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-011.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
12,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-012.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
13,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-013.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
14,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-014.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
15,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-015.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
16,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-016.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
17,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-017.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
18,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-018.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
19,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-019.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
20,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-020.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
21,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-021.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
22,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-022.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
23,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-023.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
24,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-024.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
25,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-025.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
26,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-026.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
27,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-027.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
28,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-028.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
29,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-029.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
30,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-030.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
31,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-031.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
32,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-032.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
33,artifacts/experiment-003/evidence-pixels/crosswalk-review/audit-033.png,A|B|BOTH_UNCERTAIN|NEITHER,CLEAR|AMBIGUOUS
