sample_index,seed,impression,registration_status,frozen_pair,status,repeatability,matched,plain_in_overlap,roll_in_overlap,mean_match_distance
1,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
1,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
2,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
2,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
3,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
3,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
4,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
4,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
5,40401,plain,VALID,PREPROCESSING_FAILURE,OK,0.7916137229987293,623,804,770,0.6232051354404377
5,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
6,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
6,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
7,40401,plain,VALID,OK,OK,0.8064171122994652,754,942,928,0.6440453362255519
7,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
8,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
8,40401,roll,VALID,OK,OK,0.05261359754014349,77,527,2400,2.4168025982432724
9,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
9,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
10,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
10,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
11,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
11,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
12,40401,plain,VALID,OK,OK,0.7796744739976181,982,1270,1249,0.6732197953868473
12,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
13,40401,plain,VALID,PREPROCESSING_FAILURE,OK,0.8112118713932399,984,1155,1271,0.6362017991078494
13,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
14,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
14,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
19,40401,plain,VALID,OK,OK,0.043859649122807015,10,96,360,2.7815531650025695
19,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
20,40401,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
20,40401,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
1,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
1,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
2,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
2,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
3,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
3,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
4,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
4,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
5,40402,plain,VALID,PREPROCESSING_FAILURE,OK,0.7907869481765835,618,792,771,0.6151796170450994
5,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
6,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
6,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
7,40402,plain,VALID,OK,OK,0.8421052631578947,752,901,885,0.5831436549257486
7,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
8,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
8,40402,roll,VALID,OK,OK,0.03418803418803419,48,370,2438,2.203696901080725
9,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
9,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
10,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
10,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
11,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
11,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
12,40402,plain,VALID,OK,OK,0.8162692847124825,1164,1445,1407,0.693891111231189
12,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
13,40402,plain,VALID,PREPROCESSING_FAILURE,OK,0.8295371050698016,1129,1270,1452,0.6214240775393647
13,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
14,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
14,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
19,40402,plain,VALID,OK,OK,0.03529411764705882,6,48,292,3.3346640269598793
