record_id,sample_index,ppi,pair_type,frozen_analysis_status,conformant_analysis_status,subject_id,plain_position,roll_position,status,reason,mutual_matches,ransac_inliers,inlier_ratio,median_reprojection_error,p90_reprojection_error,plain_hull_coverage,roll_hull_coverage,overlap_plain_pixels,overlap_roll_pixels,registration_relative_local_path,registration_sha256
S01-1000,1,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001809,1,1,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S01-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S01-1000,1,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001809,1,2,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S01-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S02-1000,2,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001718,1,1,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S02-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S02-1000,2,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001718,1,2,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S02-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S03-1000,3,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001335,2,2,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S03-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S03-1000,3,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001335,2,3,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S03-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S04-1000,4,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001593,2,2,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S04-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S04-1000,4,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001593,2,3,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S04-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S05-1000,5,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001314,3,3,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S05-1000-mated.npz,090d731e516839ac8d26a870b7678cd275acf9071caf2b49b1a91dab1d0090f4
S05-1000,5,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001314,3,4,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S05-1000-non_mated.npz,090d731e516839ac8d26a870b7678cd275acf9071caf2b49b1a91dab1d0090f4
S06-1000,6,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001267,3,3,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S06-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S06-1000,6,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001267,3,4,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S06-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S07-1000,7,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001061,4,4,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S07-1000-mated.npz,7b25a9a539f2ec59d7fe2f35d48f59239f463da66e8ed3da422988a02c6e6709
S07-1000,7,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001061,4,5,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S07-1000-non_mated.npz,7b25a9a539f2ec59d7fe2f35d48f59239f463da66e8ed3da422988a02c6e6709
S08-1000,8,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001050,4,4,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S08-1000-mated.npz,f54aff1165a1b57cd328b46d547babae107c687ece4d426886edf28a13312134
S08-1000,8,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001050,4,5,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S08-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S09-1000,9,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001187,5,5,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S09-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S09-1000,9,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001187,5,6,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S09-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S10-1000,10,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001668,5,5,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S10-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S10-1000,10,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001668,5,6,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S10-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S11-1000,11,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001595,6,6,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S11-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S11-1000,11,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001595,6,7,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S11-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S12-1000,12,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001159,6,6,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S12-1000-mated.npz,54d7526d8e4fe2b12054f4e452d1e39d30b5d633d2dde4d84c6ab529ebde4ddc
S12-1000,12,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001159,6,7,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S12-1000-non_mated.npz,54d7526d8e4fe2b12054f4e452d1e39d30b5d633d2dde4d84c6ab529ebde4ddc
S13-1000,13,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001741,7,7,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S13-1000-mated.npz,27342bf328e8aecc0b1e8d2a76e45d076738f83916eb34ae006db9df9a105ea9
S13-1000,13,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001741,7,8,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S13-1000-non_mated.npz,27342bf328e8aecc0b1e8d2a76e45d076738f83916eb34ae006db9df9a105ea9
S14-1000,14,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001411,7,7,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S14-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S14-1000,14,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001411,7,8,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S14-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S15-1000,15,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001234,8,8,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S15-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S15-1000,15,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001234,8,9,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S15-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S16-1000,16,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001711,8,8,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S16-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S16-1000,16,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001711,8,9,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S16-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S17-1000,17,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001036,9,9,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S17-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S17-1000,17,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001036,9,10,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S17-1000-non_mated.npz,f26a366f3ebedbecdbd2df225a5147a553997ae8d22a97840de8614109a4a6ce
S18-1000,18,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001580,9,9,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S18-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S18-1000,18,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001580,9,10,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S18-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S19-1000,19,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001085,10,10,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S19-1000-mated.npz,e63d5a1354707dad31e070e0889d8132540cbccffffea1b4ba159e4af4bb6c3b
S19-1000,19,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001085,10,1,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S19-1000-non_mated.npz,e63d5a1354707dad31e070e0889d8132540cbccffffea1b4ba159e4af4bb6c3b
S20-1000,20,1000,mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001027,10,10,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S20-1000-mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S20-1000,20,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001027,10,1,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S20-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S01-2000,1,2000,mated,OK,OK,00001809,1,1,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,63,11,0.1746031746031746,2.0702857971191406,4.152581691741943,0.050654656564135606,0.02368732824408704,,,artifacts/experiment-004/local-large/registrations/2000/S01-2000-mated.npz,20feede04548a9f5e574e0eb81e89f1f446da6dafbd1d7f0eb51176a55d16243
S01-2000,1,2000,non_mated,OK,OK,00001809,1,2,INVALID,VALIDITY_THRESHOLDS_NOT_MET,30,5,0.16666666666666666,0.8525856733322144,3.3836660385131836,0.17167466442010873,0.3148717258848526,,,artifacts/experiment-004/local-large/registrations/2000/S01-2000-non_mated.npz,67d4771c8d9eddac813d8e55c1344a1f214c80377c008b05bf412dd1d73da01a
S02-2000,2,2000,mated,OK,OK,00001718,1,1,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,61,8,0.13114754098360656,1.641355276107788,3.164367914199829,0.5783900765914024,0.17333860285208588,,,artifacts/experiment-004/local-large/registrations/2000/S02-2000-mated.npz,9fb7d66bd6066befe9e544bf3d8abd452ef322f2597afa84702b174ab07e1efa
S02-2000,2,2000,non_mated,OK,OK,00001718,1,2,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,56,6,0.10714285714285714,1.392468810081482,3.059278964996338,0.419230476722298,0.08846889391856516,,,artifacts/experiment-004/local-large/registrations/2000/S02-2000-non_mated.npz,65ba56772c1971870e70dbdb6a7c728c8397905dcccf1178159bad04172af689
S03-2000,3,2000,mated,OK,OK,00001335,2,2,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,51,20,0.39215686274509803,1.7970941066741943,3.780172348022461,0.22157226188830506,0.07935322270707336,,,artifacts/experiment-004/local-large/registrations/2000/S03-2000-mated.npz,2963343b0f5619471a0b5cb84f91778aac4e3c5a7f7966d516d8b93566336a75
S03-2000,3,2000,non_mated,OK,OK,00001335,2,3,INVALID,VALIDITY_THRESHOLDS_NOT_MET,19,4,0.21052631578947367,0.0,0.0,0.19322539346630097,0.19271190998225435,,,artifacts/experiment-004/local-large/registrations/2000/S03-2000-non_mated.npz,d25b2cabd9a50c203c171d453d328eb991a738ed903000ed0e562e095e8ad3dc
S04-2000,4,2000,mated,OK,OK,00001593,2,2,INVALID,VALIDITY_THRESHOLDS_NOT_MET,27,5,0.18518518518518517,0.0,0.0,0.09121535752377247,0.11178666766373563,,,artifacts/experiment-004/local-large/registrations/2000/S04-2000-mated.npz,fe578187569ead4d6f575c1e7f6d23aeeab608a8cb1c96ac857724242887913f
S04-2000,4,2000,non_mated,OK,OK,00001593,2,3,INVALID,VALIDITY_THRESHOLDS_NOT_MET,16,4,0.25,0.0,0.0,0.38846204426388053,0.07401357517278696,,,artifacts/experiment-004/local-large/registrations/2000/S04-2000-non_mated.npz,dad3eef04fabaf312655aad41adc677ea9dd4d796b722466cf8d254b7242eb39
